2.50000000e-01,4.19951277e-01,4.18975599e-01
5.00000000e-01,4.12119701e-01,4.11977587e-01
1.00000000e+00,6.44241383e-01,6.43682286e-01
1.14815362e+00,6.89404982e-01,6.88451624e-01
1.31825674e+00,7.29397547e-01,7.28525057e-01
1.51356125e+00,7.71782967e-01,7.71201018e-01
1.73780083e+00,7.85883627e-01,7.85013322e-01
1.99526231e+00,8.08179977e-01,8.07590573e-01
2.29086765e+00,8.13159167e-01,8.12234039e-01
2.63026799e+00,7.98335071e-01,7.97821912e-01
3.01995172e+00,7.88145988e-01,7.87475561e-01
3.46736850e+00,7.58980503e-01,7.58358767e-01
3.98107171e+00,7.25774234e-01,7.24984483e-01
4.57088190e+00,6.88245288e-01,6.87676973e-01
5.24807460e+00,6.43448658e-01,6.42873064e-01
6.02559586e+00,6.08091179e-01,6.07600292e-01
6.91830971e+00,5.61779225e-01,5.61005850e-01
7.94328235e+00,5.26855857e-01,5.26237424e-01
9.12010839e+00,4.86796565e-01,4.86203556e-01
1.04712855e+01,4.48077992e-01,4.47453728e-01
1.20226443e+01,4.15791828e-01,4.15106979e-01
1.38038426e+01,3.83146155e-01,3.82321356e-01
1.58489319e+01,3.61176376e-01,3.60657253e-01
1.81970086e+01,3.34256939e-01,3.33552418e-01
2.08929613e+01,3.12477982e-01,3.11814734e-01
2.39883292e+01,2.90432802e-01,2.89773604e-01
2.75422870e+01,2.74191351e-01,2.73623006e-01
3.16227766e+01,2.58799758e-01,2.58412561e-01
3.63078055e+01,2.43778098e-01,2.43416563e-01
4.16869383e+01,2.31258085e-01,2.30955120e-01
4.78630092e+01,2.20793161e-01,2.20534997e-01
5.49540874e+01,2.13667568e-01,2.13421862e-01
6.30957344e+01,2.04467565e-01,2.04244157e-01
7.24435960e+01,1.97551064e-01,1.97336794e-01
8.31763771e+01,1.91531126e-01,1.91303071e-01
9.54992586e+01,1.86638754e-01,1.86437054e-01
1.09647820e+02,1.81722310e-01,1.81543406e-01
1.25892541e+02,1.77199448e-01,1.77033991e-01
1.44543977e+02,1.74053057e-01,1.73853218e-01
1.65958691e+02,1.70661890e-01,1.70459071e-01
1.90546072e+02,1.67692251e-01,1.67506031e-01
2.18776162e+02,1.64951262e-01,1.64735349e-01
2.51188643e+02,1.62184330e-01,1.61972320e-01
2.88403150e+02,1.59416286e-01,1.59209660e-01
3.31131121e+02,1.57862756e-01,1.57688463e-01
3.80189396e+02,1.56039784e-01,1.55897010e-01
4.36515832e+02,1.54304333e-01,1.54184390e-01
5.01187234e+02,1.53103877e-01,1.53018581e-01
5.75439937e+02,1.52076398e-01,1.51998942e-01
6.60693448e+02,1.51074220e-01,1.50991615e-01
7.58577575e+02,1.50400377e-01,1.50324041e-01
8.70963590e+02,1.49907479e-01,1.49831330e-01
1.00000000e+03,1.49329926e-01,1.49255008e-01
