2.50000000e-01,5.34134079e-01,5.34168393e-01
5.00000000e-01,5.26816644e-01,5.26844022e-01
1.00000000e+00,5.19174843e-01,5.19199244e-01
1.25892541e+00,5.18575908e-01,5.18605985e-01
1.58489319e+00,5.17555350e-01,5.17555512e-01
1.99526231e+00,5.14259706e-01,5.14238035e-01
2.51188643e+00,5.04185661e-01,5.04123401e-01
3.16227766e+00,4.82635001e-01,4.82311272e-01
3.98107171e+00,4.65551543e-01,4.63696254e-01
5.01187234e+00,4.58969972e-01,4.56938239e-01
6.30957344e+00,4.44713000e-01,4.43204836e-01
7.94328235e+00,4.28027939e-01,4.26805555e-01
1.00000000e+01,4.08083725e-01,4.06679787e-01
1.25892541e+01,3.94093888e-01,3.93217730e-01
1.58489319e+01,3.77413604e-01,3.76128674e-01
1.99526231e+01,3.70735568e-01,3.69598959e-01
2.51188643e+01,3.56084885e-01,3.55264949e-01
3.16227766e+01,3.47975894e-01,3.46950781e-01
3.98107171e+01,3.41760092e-01,3.40703985e-01
5.01187234e+01,3.32183075e-01,3.31369516e-01
6.30957344e+01,3.22330707e-01,3.21832641e-01
7.94328235e+01,3.09030313e-01,3.08499192e-01
1.00000000e+02,2.90037772e-01,2.89491533e-01
1.25892541e+02,2.71083926e-01,2.70600722e-01
1.58489319e+02,2.42361140e-01,2.41986956e-01
1.99526231e+02,2.09423173e-01,2.08937123e-01
2.51188643e+02,1.83806120e-01,1.83466904e-01
3.16227766e+02,1.38135611e-01,1.37844909e-01
3.98107171e+02,1.08005248e-01,1.07872267e-01
5.01187234e+02,7.70890899e-02,7.70204257e-02
6.30957344e+02,5.08905786e-02,5.05467318e-02
7.94328235e+02,4.66186455e-02,4.65370662e-02
1.00000000e+03,4.55633232e-02,4.54945560e-02
