2.04222972e-04,4.19147824e-04,5.33847493e-04,7.58832626e-04,8.80710878e-04,1.44190518e-03,1.56092373e-03,1.89352894e-03
2.82740092e-04,6.86086235e-04,8.79889630e-04,1.26582826e-03,1.47100080e-03,2.44012776e-03,2.66020374e-03,3.23634181e-03
3.88629683e-04,1.00473390e-03,1.29999069e-03,1.90570100e-03,2.20797505e-03,3.68559349e-03,4.03544489e-03,4.90741535e-03
5.21932073e-04,1.38492014e-03,1.82753951e-03,2.68475317e-03,3.09263818e-03,5.25995048e-03,5.68137506e-03,7.01467760e-03
6.71402771e-04,1.84935022e-03,2.42735443e-03,3.55727358e-03,4.19929475e-03,7.05075749e-03,7.66402034e-03,9.37007022e-03
8.51204631e-04,2.38155156e-03,3.13949694e-03,4.72945763e-03,5.37537607e-03,9.15540934e-03,1.00009129e-02,1.22044847e-02
1.04831501e-03,2.96135224e-03,3.90489221e-03,5.81044656e-03,6.96428820e-03,1.15802047e-02,1.25149603e-02,1.56003759e-02
1.45505980e-03,4.05345368e-03,5.38169674e-03,7.12970723e-03,8.27021827e-03,1.42971735e-02,1.54260624e-02,1.87811882e-02
1.51649204e-03,4.33959974e-03,5.82199535e-03,8.66230159e-03,1.00745392e-02,1.72182040e-02,1.86094448e-02,2.28040174e-02
1.80317339e-03,5.17005321e-03,6.88523580e-03,1.01938547e-02,1.18792818e-02,2.02289081e-02,2.20941956e-02,2.69584258e-02
