2.52203468e-05,3.29947844e-05,3.90473821e-05,3.88558653e-05,4.35690904e-05,3.69300427e-05,3.65253249e-05,4.13208264e-05
3.97624207e-05,4.53019472e-05,5.12656117e-05,4.28333875e-05,4.75583724e-05,5.37528302e-05,4.57623081e-05,4.22852457e-05
4.41661751e-05,5.20355573e-05,6.25886087e-05,5.34889645e-05,4.77129640e-05,5.38210943e-05,5.54036913e-05,8.96563801e-05
5.85291145e-05,7.91074846e-05,6.06756342e-05,5.86269118e-05,7.83859638e-05,7.93406056e-05,5.52413479e-05,5.87516011e-05
6.83752957e-05,6.35371101e-05,6.95209400e-05,6.75510719e-05,8.77197719e-05,7.03131723e-05,8.34610582e-05,7.63020170e-05
6.78215631e-05,8.97253606e-05,6.48535582e-05,8.34149908e-05,9.59419569e-05,8.64818439e-05,8.38692342e-05,8.42925761e-05
9.01537330e-05,7.97320870e-05,7.80837671e-05,2.07692531e-04,8.43703829e-05,1.12807126e-04,1.09285966e-04,8.77175800e-05
1.63341275e-04,3.52939924e-04,1.76768041e-04,1.07597290e-04,1.04961725e-04,1.12558434e-04,1.14856350e-04,1.09958275e-04
1.05215761e-04,1.08494298e-04,1.06544784e-04,1.22168217e-04,1.19435003e-04,1.28922428e-04,9.28531446e-05,1.02921683e-04
1.26227550e-04,1.22759754e-04,1.31655795e-04,1.01914098e-04,1.48328511e-04,1.35907319e-04,1.17986323e-04,1.61721296e-04
