4.25531915e-02,5.03845888e-01
8.69565217e-02,5.00600994e-01
1.81818182e-01,4.92968001e-01
4.00000000e-01,4.71139762e-01
1.00000000e+00,3.86868563e-01
1.20679264e+00,3.52028098e-01
1.45634848e+00,3.07005542e-01
1.75751062e+00,3.09125737e-01
2.12095089e+00,3.03421650e-01
2.55954792e+00,2.92301208e-01
3.08884360e+00,2.73594981e-01
3.72759372e+00,3.19840765e-01
4.49843267e+00,2.92186002e-01
5.42867544e+00,2.53110471e-01
6.55128557e+00,2.11285949e-01
7.90604321e+00,1.81842108e-01
9.54095476e+00,1.57754856e-01
1.15139540e+01,1.40657885e-01
1.38949549e+01,1.23300106e-01
1.67683294e+01,1.06423760e-01
2.02358965e+01,9.35407871e-02
2.44205309e+01,7.96896264e-02
2.94705170e+01,6.98154053e-02
3.55648031e+01,5.80190246e-02
4.29193426e+01,5.01524303e-02
5.17947468e+01,4.17673847e-02
6.25055193e+01,3.87608181e-02
7.54312006e+01,3.02855742e-02
9.10298178e+01,2.72707295e-02
1.09854114e+02,3.37591230e-02
1.32571137e+02,2.79876564e-02
1.59985872e+02,4.67489314e-02
1.93069773e+02,2.55846104e-02
2.32995181e+02,5.23724334e-02
2.81176870e+02,2.18178535e-02
3.39322177e+02,1.95315371e-02
4.09491506e+02,1.87623409e-02
4.94171336e+02,1.98975375e-02
5.96362332e+02,1.79102627e-02
7.19685673e+02,1.74448258e-02
8.68511374e+02,1.72141441e-02
1.04811313e+03,1.65482154e-02
1.26485522e+03,1.63163244e-02
1.52641797e+03,1.57260137e-02
1.84206997e+03,1.54271855e-02
2.22299648e+03,1.51685400e-02
2.68269580e+03,1.45582103e-02
3.23745754e+03,1.43407397e-02
3.90693994e+03,1.41264363e-02
4.71486636e+03,1.33305892e-02
5.68986603e+03,1.29195887e-02
6.86648845e+03,1.29596373e-02
8.28642773e+03,1.16454256e-02
1.00000000e+04,1.19147293e-02
