8,48,0.35355,0.35355,0.66336,0.0052764
32,192,0.17678,0.17678,0.66339,0.00079207
128,768,0.088388,0.088388,0.66339,0.00010611
512,3072,0.044194,0.044194,0.66339,1.3635e-05
2048,12288,0.022097,0.022097,0.66339,1.7248e-06
8192,49152,0.011049,0.011049,0.66339,2.1677e-07
32768,1.9661e+05,0.0055243,0.0055243,0.66339,2.7168e-08
