8,24,0.35355,0.35355,0.0049486,0.024198
32,96,0.17678,0.17678,0.0049473,0.039047
128,384,0.088388,0.088388,0.004945,0.043242
512,1536,0.044194,0.044194,0.0049413,0.039752
2048,6144,0.022097,0.022097,0.0049372,0.029876
8192,24576,0.011049,0.011049,0.0049342,0.017654
